
> html-site@1.0.0 start
> npx serve

 INFO  Accepting connections at http://localhost:3000
 HTTP  2/1/2026 3:12:17 PM ::1 GET /gdrive
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/css/gdrive.css
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 200 in 12 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 9 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/images/gdrive.png
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 200 in 4 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/js/page-gdrive.js?v=2
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:17 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:19 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:12:19 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /adobe/index.html
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /adobe/index
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 301 in 0 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /adobe
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/css/adobe.css
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 7 ms
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/images/adobe.webp
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 4 ms
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 200 in 16 ms
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/js/page-adobe.js?v=2
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 2 ms
